Vibration_mm_s,Temperature_C,Pressure_bar,Current_A,RPM,Operating_Hours,Label,Fault_Class
8.0487,48.5436,6.1738,16.7495,1635.7056,1473.0649,2,Bearing Wear
21.5055,59.5914,7.7575,20.0407,1479.0108,3574.1560,3,Misalignment
22.3671,56.5563,6.3943,19.6475,1726.2393,4479.0659,3,Misalignment
17.6495,68.0886,9.3998,25.9127,1776.5721,2784.2317,5,Combined Faults
3.9711,50.6601,5.8492,16.2653,1443.1141,539.7987,1,Normal
18.6656,60.3745,6.6657,19.2123,1352.7572,1368.7500,3,Misalignment
13.2909,63.7164,7.7732,24.1090,1464.2104,2020.7616,5,Combined Faults
8.2266,71.1351,6.2316,21.4230,1233.2746,953.2150,4,Overheating
10.2024,53.4140,6.0937,17.7589,1327.6542,2269.3682,2,Bearing Wear
8.5776,64.8729,7.3553,25.0180,1732.0446,1708.8969,5,Combined Faults
11.9495,78.3573,6.5249,22.3323,1393.6106,2551.1125,4,Overheating
15.8649,60.8240,7.8275,20.8439,1154.7220,3904.4306,5,Combined Faults
11.7658,79.3374,7.3460,21.8379,1261.2312,5408.5598,4,Overheating
13.7661,53.4494,6.9048,22.2184,1766.4208,77.9003,3,Misalignment
23.1948,58.6087,8.5243,17.9078,1417.5920,1358.4402,3,Misalignment
2.8172,62.6200,5.7741,16.3451,1411.2578,1707.2603,1,Normal
2.9974,58.4488,5.3114,16.5824,1466.2949,1292.8541,1,Normal
15.0363,67.0486,8.1633,22.2713,1540.8887,7281.5585,5,Combined Faults
13.1231,60.9867,8.7015,22.6407,1661.5339,4838.5743,5,Combined Faults
6.1066,76.1263,5.9958,23.4787,1232.5410,621.6628,4,Overheating
15.3856,65.7533,9.0706,24.5436,1607.7925,5893.1101,5,Combined Faults
23.2643,57.1928,8.4419,18.2860,1728.6632,3460.1396,3,Misalignment
16.6168,52.4853,7.5269,21.0823,1402.4531,770.0146,3,Misalignment
15.2305,61.6749,7.5686,19.9152,1215.9647,6689.1017,2,Bearing Wear
15.5293,63.7067,7.3831,19.8784,1354.9999,6194.8376,2,Bearing Wear
23.6406,68.4133,6.8846,20.7003,1506.5520,3137.9410,3,Misalignment
15.2100,65.3174,8.4479,22.8810,1171.7342,4824.2466,5,Combined Faults
4.4873,59.0855,5.6299,16.1985,1446.9070,1243.7955,1,Normal
16.9768,75.5910,5.2615,21.9657,1329.6563,4314.2030,4,Overheating
4.5051,53.6788,5.7559,16.1821,1425.5884,515.3050,1,Normal
14.2245,60.0000,8.4820,23.3214,1138.2587,3765.2830,5,Combined Faults
16.9118,68.5294,6.3957,23.0283,1662.3824,7373.7159,5,Combined Faults
14.2212,65.1775,7.3045,20.3772,1622.0823,6812.4257,2,Bearing Wear
17.2618,68.9121,6.4521,23.1439,1722.9547,6433.2538,5,Combined Faults
21.8375,71.2766,8.7575,22.4224,1771.8670,7577.4533,5,Combined Faults
6.6990,51.3191,6.1972,16.3657,1248.7812,893.9599,2,Bearing Wear
9.6950,76.7081,6.3468,24.7310,1615.2842,5680.4378,4,Overheating
5.8182,76.1587,7.4450,25.2226,1940.4108,2417.4311,4,Overheating
12.6800,60.1102,7.3247,19.9478,1671.0317,5913.0519,2,Bearing Wear
3.1103,52.1171,5.1574,16.7334,1475.7242,770.3355,1,Normal
4.3984,55.2481,5.5383,17.0710,1570.9054,799.9025,1,Normal
15.1929,65.4846,7.7552,24.3478,1889.9164,4470.5608,5,Combined Faults
11.0224,67.2438,8.9144,24.8418,1824.6845,1657.2135,5,Combined Faults
20.5203,77.2189,6.6621,22.4958,1763.7525,4574.5847,4,Overheating
12.2710,66.0960,8.4435,20.7124,1326.2557,3679.7952,3,Misalignment
11.4949,62.3169,6.5031,21.0047,1739.7577,4083.2313,3,Misalignment
10.1111,51.2805,5.9947,17.2280,1485.6783,1787.9159,2,Bearing Wear
18.1351,78.0844,5.0966,22.7578,1793.5419,1938.5614,4,Overheating
8.1214,53.4170,6.1239,16.0312,1450.1632,1648.5264,2,Bearing Wear
21.4272,66.9432,7.9419,24.8712,1731.9670,7562.2779,5,Combined Faults
14.0771,67.1090,7.3488,20.5113,1450.8876,6787.2281,2,Bearing Wear
14.5615,79.8976,6.6420,26.1621,1819.8527,5743.0584,4,Overheating
12.3219,64.9251,7.6427,22.8862,1416.8972,4888.4250,5,Combined Faults
5.4585,77.3524,6.3072,24.0770,1860.1576,4297.8548,4,Overheating
18.0880,58.0660,6.9302,21.8149,1371.6142,1750.2266,3,Misalignment
15.9372,72.7943,7.2357,21.4951,1675.2927,3019.2957,4,Overheating
24.4204,66.0170,7.9493,19.2041,1763.9596,3565.3063,3,Misalignment
6.2236,51.1381,6.1111,15.9526,1482.5339,1093.0038,2,Bearing Wear
17.3332,68.6671,7.8436,20.8219,1694.8247,7816.8888,2,Bearing Wear
13.3701,65.3249,6.7675,24.4851,1732.0748,1438.7864,5,Combined Faults
21.7477,76.2795,8.5575,23.4747,1740.5671,7225.1090,5,Combined Faults
14.6277,64.6912,7.5697,20.2281,1374.2986,6401.6886,2,Bearing Wear
2.7688,63.2059,5.4807,16.0637,1430.7160,1479.5401,1,Normal
14.3999,68.8479,6.0957,21.9561,1599.4239,1037.9744,3,Misalignment
8.6804,56.4632,6.5548,16.8670,1512.6255,2867.5098,2,Bearing Wear
10.8770,67.7943,7.8159,22.8716,1678.3997,3978.4462,5,Combined Faults
6.4591,49.0179,5.6915,15.9619,1659.0096,541.6931,2,Bearing Wear
7.2680,49.6611,5.7649,16.3866,1507.8959,784.3263,2,Bearing Wear
3.0469,70.5742,6.7942,20.8975,1330.1877,5878.0105,4,Overheating
19.8612,60.9323,8.6859,22.2631,1693.2039,2858.4663,3,Misalignment
4.6555,62.9138,5.5546,15.7891,1442.5349,1816.6914,1,Normal
10.4062,80.0563,7.5359,25.1355,1763.5022,2202.7368,4,Overheating
8.2160,77.1348,5.9847,21.9237,1883.8272,3039.6037,4,Overheating
10.9126,70.9160,8.4921,20.9440,1284.5204,4119.1212,5,Combined Faults
10.8242,50.9115,6.4295,16.8305,1565.6688,2182.5755,2,Bearing Wear
4.6583,49.2208,5.6446,16.8573,1496.4386,490.6567,1,Normal
12.4456,77.0791,5.6322,22.4054,1137.2892,676.7365,4,Overheating
25.5451,66.8363,7.7601,21.1689,1598.4138,4224.9879,3,Misalignment
14.6437,61.8169,6.6364,21.3544,1281.9306,4966.9740,5,Combined Faults
4.6861,61.0331,5.5973,16.7603,1513.8424,1180.3908,1,Normal
12.7858,63.9159,7.8180,20.2613,1110.8992,4572.9606,5,Combined Faults
10.8826,60.0000,8.0923,23.3673,1258.0235,1508.1136,5,Combined Faults
5.4452,81.5464,5.1050,21.6803,1287.5223,5455.3648,4,Overheating
2.7788,63.7840,5.8004,17.0392,1506.1513,1692.3631,1,Normal
16.1145,67.7619,7.5478,20.6046,1150.9638,7367.2492,5,Combined Faults
5.1581,83.5103,5.5949,22.6286,1472.4842,1559.3139,4,Overheating
8.4190,51.6613,6.3180,17.1227,1484.8550,1833.6836,2,Bearing Wear
3.3877,53.1282,5.3603,16.7951,1420.5863,961.0274,1,Normal
14.7337,66.3117,8.1696,23.4159,1601.5247,4171.1842,5,Combined Faults
16.2541,76.4281,5.8032,21.4452,1180.1391,5094.8154,4,Overheating
12.5426,63.4307,7.8916,18.7427,1352.6601,2562.2289,3,Misalignment
13.3376,66.2665,8.7489,24.5904,1498.7117,4408.6283,5,Combined Faults
6.5237,84.2017,7.2146,22.4754,1345.5128,5164.2839,4,Overheating
17.7705,59.4048,6.1767,17.5540,1358.7083,1619.5374,3,Misalignment
4.8443,71.4710,6.6497,23.1346,1957.6242,4228.0455,4,Overheating
20.8311,50.8670,7.2179,18.8280,1709.5894,560.4217,3,Misalignment
14.4578,61.1262,7.4694,19.7698,1508.2768,6313.2514,2,Bearing Wear
19.8123,62.3170,7.3322,20.0482,1554.8077,1749.4465,3,Misalignment
18.9044,72.9117,6.9850,22.9911,1820.4342,7482.2567,5,Combined Faults
11.5674,62.1450,6.8528,19.1665,1512.4138,4926.4419,2,Bearing Wear
26.5553,50.2862,7.0650,19.5083,1623.5687,1448.5659,3,Misalignment
16.2671,67.1856,8.1723,19.3925,1318.8253,3695.6761,5,Combined Faults
4.2492,50.5809,5.6370,16.9537,1412.8709,137.1202,1,Normal
14.3854,62.0087,7.0814,20.1237,1651.8734,5950.5681,2,Bearing Wear
17.4120,65.0623,7.8228,21.4681,1184.2484,7440.4124,5,Combined Faults
5.1492,63.6610,5.5674,17.0326,1511.6962,1469.4070,1,Normal
3.6265,65.7601,5.3156,16.1079,1437.4478,1977.2078,1,Normal
5.2733,48.0006,5.7295,16.5049,1553.0937,189.7624,1,Normal
3.2546,59.2313,5.3779,16.8997,1445.1276,1558.2770,1,Normal
22.2673,76.0021,5.2221,22.7288,1708.7125,4302.2055,4,Overheating
12.7078,62.4661,7.2387,19.3556,1342.1644,5028.9520,2,Bearing Wear
17.6812,62.5291,8.3142,19.9018,1525.8694,4853.3385,5,Combined Faults
5.6503,80.1062,5.3511,21.2873,1007.5673,2828.5216,4,Overheating
18.9777,51.2430,6.8991,17.5269,1558.4070,4447.8638,3,Misalignment
17.8839,57.8336,8.5214,22.3916,1547.4403,3378.4051,3,Misalignment
15.0689,64.3195,7.6005,19.4318,1424.1811,6485.6033,2,Bearing Wear
16.1602,69.0560,8.9235,24.3058,1867.4534,6844.0900,5,Combined Faults
13.8568,66.6273,8.5279,24.1637,1310.0664,4716.3658,5,Combined Faults
3.6769,49.0728,5.6641,16.6039,1532.5819,39.5329,1,Normal
4.5000,58.3001,5.5029,16.6586,1510.5343,864.6708,1,Normal
13.6410,65.6659,7.2559,20.5309,1214.1603,6513.3250,2,Bearing Wear
12.0999,61.6963,7.0595,18.4540,1287.9860,5110.0992,2,Bearing Wear
25.6871,64.3627,7.0815,20.8854,1557.8909,297.7494,3,Misalignment
20.6230,69.2276,9.1399,22.7048,1895.1151,5953.6512,5,Combined Faults
14.6444,74.6279,6.6957,22.2316,1478.8370,536.3289,4,Overheating
3.8156,58.4264,5.6111,16.6165,1599.3839,1339.6002,1,Normal
12.7039,63.8552,7.9560,19.7207,1630.7362,3867.4545,5,Combined Faults
17.3010,67.0887,7.6438,21.2387,1404.0709,7784.9300,2,Bearing Wear
11.0434,67.2339,6.9050,27.7228,1684.0056,2201.9757,5,Combined Faults
18.8589,53.1993,8.4530,17.6238,1698.1638,1746.8262,3,Misalignment
16.1110,78.1562,5.3729,21.7455,1551.6551,1288.5830,4,Overheating
4.1267,55.4554,5.5049,16.2146,1526.9437,1107.1588,1,Normal
3.5030,75.4855,6.1097,21.2508,1483.7303,1928.3079,4,Overheating
6.5489,73.3506,6.1407,21.8427,1157.3556,2524.6356,4,Overheating
11.5068,55.7944,6.7209,17.9948,1463.3188,3683.7342,2,Bearing Wear
13.7805,81.6657,7.2449,23.2809,1959.5954,4923.7061,4,Overheating
13.1844,64.7270,7.2707,24.5057,1610.1439,4503.6145,5,Combined Faults
13.1654,74.7105,5.9444,23.7790,1940.9422,5105.5607,4,Overheating
12.6794,60.0000,7.9594,23.3322,1282.4367,2159.8850,5,Combined Faults
19.7877,67.3855,7.1166,22.7834,1405.8045,7582.3807,5,Combined Faults
9.0220,53.5976,6.2187,17.9091,1541.4179,2278.6536,2,Bearing Wear
11.4500,56.4557,7.6391,20.8559,1476.5223,1925.0514,3,Misalignment
9.5917,76.7271,6.4237,23.4904,1987.3051,333.3846,4,Overheating
19.7755,56.9124,8.7074,18.4084,1373.8215,2632.4469,3,Misalignment
12.9340,92.4770,6.1226,24.8800,1919.7239,5640.6641,4,Overheating
18.2851,59.0710,7.9775,22.2061,1328.7484,1677.5997,3,Misalignment
12.5873,69.2153,6.5436,23.2463,1490.5246,5491.6538,5,Combined Faults
11.5212,79.2855,5.7008,22.8963,1717.8267,2037.2169,4,Overheating
15.3330,68.9296,7.8001,21.6748,1313.1366,5748.8005,5,Combined Faults
22.6013,57.1254,6.2760,20.7694,1738.0129,1442.8997,3,Misalignment
4.0734,52.8399,5.7569,16.9861,1529.5755,776.1071,1,Normal
11.1212,61.4098,6.9302,18.4820,1201.5200,4567.7922,2,Bearing Wear
10.7443,83.0969,7.5104,23.1707,1594.7328,3797.6958,4,Overheating
9.6173,52.8244,6.4343,18.2328,1433.3556,3204.6312,2,Bearing Wear
15.8609,62.1024,7.4895,20.1430,1151.3491,3608.1049,5,Combined Faults
21.4164,55.2607,8.3653,19.9750,1540.5023,1614.9749,3,Misalignment
14.4524,59.1806,7.8455,21.7820,1743.0438,4772.8176,3,Misalignment
4.1397,57.2198,5.7104,16.1637,1487.5808,766.6396,1,Normal
10.8772,69.1522,8.0208,23.8530,1278.6989,2466.8457,5,Combined Faults
21.4542,55.1863,6.9147,19.0778,1353.0516,4234.1525,3,Misalignment
16.1469,69.2687,7.7492,20.8988,1205.7050,7768.0923,2,Bearing Wear
15.4742,66.2518,6.8398,23.2424,1678.6189,2378.1421,5,Combined Faults
16.5653,65.8295,8.1995,22.8607,1565.0132,5465.7220,5,Combined Faults
9.2410,85.6015,6.4234,23.1805,1329.1038,4728.2961,4,Overheating
3.7162,51.7364,5.2885,16.5852,1529.4144,684.7249,1,Normal
17.6436,54.2336,7.9922,21.3816,1486.2979,3317.6069,3,Misalignment
21.1450,53.3648,7.8027,18.0767,1603.1067,3203.9480,3,Misalignment
10.3260,56.5743,6.8527,19.2335,1682.0688,2927.7913,3,Misalignment
2.9708,53.0288,5.6357,15.6455,1546.2060,367.6162,1,Normal
23.7282,64.9663,7.1222,21.2315,1434.4787,4247.2074,3,Misalignment
4.0343,79.6677,5.9932,23.7691,1053.3890,1263.1841,4,Overheating
3.3924,53.2416,5.2098,16.4397,1417.0443,649.5133,1,Normal
12.1747,63.7078,6.4958,22.2262,1553.9797,1810.3562,5,Combined Faults
16.8325,64.4531,7.6668,24.4795,1887.1678,3407.7372,5,Combined Faults
17.1482,65.6320,7.3710,20.2486,1577.2951,7412.4060,2,Bearing Wear
19.5447,71.4114,8.5144,26.2922,1821.8653,6969.5538,5,Combined Faults
12.0502,68.8936,8.1841,20.8601,1435.0191,2243.4923,3,Misalignment
3.2099,59.7886,5.5433,16.2593,1501.2296,1245.2593,1,Normal
4.0910,60.7862,5.5172,16.2165,1581.7216,1582.9030,1,Normal
2.5864,58.6178,5.4399,15.6289,1420.6806,1175.2891,1,Normal
10.3753,51.1171,6.3085,17.3527,1273.6111,2341.6161,2,Bearing Wear
16.1359,63.9738,6.9763,22.8077,1360.7617,4766.2350,5,Combined Faults
17.0580,78.3742,6.7299,23.2636,1624.2971,1076.7457,4,Overheating
4.2551,48.6875,5.6551,16.7676,1445.5322,101.0720,1,Normal
15.4261,64.2303,9.2156,18.9916,1246.9002,4592.3778,5,Combined Faults
20.6146,65.3006,7.5863,18.5131,1594.0020,2014.2639,3,Misalignment
24.6465,56.8802,8.3789,19.0913,1519.4008,3990.9692,3,Misalignment
13.5405,66.9879,8.0275,18.3168,1608.9768,1429.2864,3,Misalignment
12.2796,60.0904,7.0854,18.6086,1328.1029,4526.3732,2,Bearing Wear
13.4312,65.2994,7.3986,19.0989,1649.2418,6438.9403,2,Bearing Wear
24.0729,86.1701,7.0816,23.9994,1967.9143,5967.8875,4,Overheating
4.6546,50.1784,5.2472,15.8690,1564.4255,433.2911,1,Normal
3.0564,61.7165,5.4679,16.4010,1447.0950,1811.2348,1,Normal
12.0288,61.6428,6.9720,23.9030,1596.0015,3848.5408,5,Combined Faults
2.6899,61.1557,5.4193,17.0227,1418.7873,1727.9274,1,Normal
9.1619,60.0000,8.5488,18.5997,1104.1809,2602.0452,5,Combined Faults
11.2697,59.4319,6.6488,19.0344,1390.3305,4070.3795,2,Bearing Wear
3.9745,51.7874,5.5436,16.9604,1483.1356,499.9735,1,Normal
17.6793,69.9512,7.1283,22.1486,1253.0519,7985.9936,5,Combined Faults
14.9374,60.4720,8.8660,25.0578,1812.1895,1951.9836,5,Combined Faults
3.5165,52.9615,5.5143,16.2165,1559.6897,538.2610,1,Normal
11.0476,60.0000,8.5037,22.0516,1165.9817,1246.1051,5,Combined Faults
6.7043,79.8561,5.4254,21.2923,1201.6147,2795.8904,4,Overheating
9.9227,60.0000,8.0328,24.5024,1385.1031,1557.9460,5,Combined Faults
11.5878,65.9407,6.1430,20.2876,1751.8153,4230.9902,3,Misalignment
2.4449,61.4162,5.6211,16.9560,1538.3759,1118.4845,1,Normal
17.1414,64.7729,6.6795,21.5043,1104.8019,6440.6880,5,Combined Faults
14.6448,52.8331,7.9981,20.3280,1452.6895,2898.1013,3,Misalignment
9.3408,50.3966,6.4240,16.9834,1455.7586,1960.2124,2,Bearing Wear
4.0161,61.0738,5.7578,16.3059,1473.0369,1394.5646,1,Normal
4.9424,78.0914,5.5706,20.8253,1824.5434,4486.2097,4,Overheating
8.7853,50.4728,6.1230,17.0472,1297.3644,2245.4982,2,Bearing Wear
16.9762,66.2555,7.7371,20.0301,1520.1448,7034.4397,2,Bearing Wear
17.2865,51.7360,8.1059,22.2268,1736.5132,897.0697,3,Misalignment
21.9471,75.7776,5.4533,23.3514,1892.4208,1006.7142,4,Overheating
4.3999,60.8072,5.5862,16.4986,1591.8800,1151.2125,1,Normal
12.1320,62.6822,6.9463,18.9474,1563.4423,5645.4922,2,Bearing Wear
14.7963,68.5975,7.5431,20.5748,1319.8525,4713.0526,4,Overheating
12.7291,60.6761,7.1128,19.2802,1235.5013,4964.9507,2,Bearing Wear
2.2429,59.5432,5.5562,16.1167,1406.6118,1145.4083,1,Normal
8.3158,49.6035,6.0321,15.8366,1465.1660,990.5977,2,Bearing Wear
13.6011,58.6808,7.2198,20.0924,1506.9846,1058.8135,3,Misalignment
12.3635,53.5825,6.8677,21.3221,1640.0812,1154.8520,3,Misalignment
9.4324,55.6953,6.6877,17.4262,1262.9321,3224.2863,2,Bearing Wear
3.7090,55.0981,5.2843,16.7173,1474.8368,851.7642,1,Normal
14.9603,60.0000,8.0295,21.0599,1473.3261,3880.2080,5,Combined Faults
12.8029,62.0566,8.7399,24.3751,1190.1269,2822.5085,5,Combined Faults
17.1063,65.2956,6.6962,21.4287,1309.9585,1392.7016,3,Misalignment
2.4202,57.3366,5.5560,16.6903,1474.3005,861.5938,1,Normal
14.7508,60.8059,7.9866,18.0926,1702.6871,2932.4556,3,Misalignment
4.3508,80.3274,7.3643,25.6971,1847.9934,5334.0848,4,Overheating
12.9250,80.2708,6.5070,23.5358,1534.0403,5673.6865,4,Overheating
10.3959,57.1252,6.6511,17.5957,1414.5887,3908.4568,2,Bearing Wear
4.7275,93.1286,5.7061,24.0269,1849.0558,2354.4116,4,Overheating
11.1187,68.3660,6.7739,21.1262,1168.7408,3816.2705,4,Overheating
13.7990,61.4874,7.1841,19.2825,1264.0953,6244.3610,2,Bearing Wear
24.3665,63.8403,7.1617,21.0807,1433.8500,1444.4385,3,Misalignment
15.2074,78.7214,6.2576,20.6745,1971.8395,389.5245,4,Overheating
19.0516,67.6404,7.1411,21.0003,1419.4423,7096.6287,5,Combined Faults
8.4300,61.6572,8.9218,18.9580,1230.8594,2230.6130,5,Combined Faults
3.0937,65.9074,5.5552,16.0666,1577.6058,1528.4207,1,Normal
17.2137,62.9885,6.2889,21.0331,1694.5933,2711.5321,3,Misalignment
16.0083,65.2190,7.2803,20.8773,1540.9401,1613.6482,3,Misalignment
23.4868,52.9784,8.0761,20.0058,1635.3173,3186.3984,3,Misalignment
2.7241,59.0893,5.4536,17.0755,1557.1934,1182.9753,1,Normal
13.9099,76.8009,6.9704,20.7895,1136.5422,646.6967,4,Overheating
21.6759,64.7479,6.7904,17.5296,1566.1319,4756.4688,3,Misalignment
4.8970,57.1558,5.5151,16.4637,1591.7118,964.6069,1,Normal
21.1376,69.4212,7.5976,22.2524,1385.4390,4487.3314,3,Misalignment
5.4866,76.9521,5.1056,23.6590,1425.9416,1380.9230,4,Overheating
24.1524,53.5799,8.0921,21.2035,1476.0802,3949.9591,3,Misalignment
20.0742,72.5952,9.1335,24.5901,1714.0126,7578.9063,5,Combined Faults
22.8095,79.4504,6.3790,27.0845,1889.2356,4675.3463,4,Overheating
12.0991,60.2253,6.0477,18.2954,1464.2971,3897.1064,3,Misalignment
16.1689,64.8536,6.7746,23.5883,1383.0725,5725.5575,5,Combined Faults
3.8501,49.0773,5.3480,17.0075,1432.3739,187.1328,1,Normal
8.9497,52.4564,6.0273,16.4749,1429.3995,2016.0080,2,Bearing Wear
12.0934,76.2653,6.9122,24.3233,1808.0384,3607.9062,4,Overheating
13.8450,62.9823,8.5656,17.5478,1492.2405,2631.1171,3,Misalignment
17.7675,70.2851,7.8509,20.1410,1446.4917,7931.1048,5,Combined Faults
9.6546,60.0000,6.9376,22.7862,1293.9186,1387.0573,5,Combined Faults
18.4812,67.0612,7.9238,25.4829,1875.6300,5997.9139,5,Combined Faults
16.8895,64.9012,8.3251,25.0518,1879.0093,3944.4033,5,Combined Faults
4.4159,48.1745,5.6304,16.9107,1442.2387,377.9208,1,Normal
12.6344,56.0042,6.6875,18.6906,1372.0502,4056.2265,2,Bearing Wear
20.6446,61.5585,6.4936,22.4733,1596.1074,421.5264,3,Misalignment
20.8205,52.3194,8.5859,18.7664,1654.1861,1505.0591,3,Misalignment
14.4023,61.1295,7.3068,19.7352,1572.1887,5912.2817,2,Bearing Wear
13.4162,60.8723,7.8536,21.6383,1681.1028,2559.2025,5,Combined Faults
11.8662,59.5444,7.4448,19.2632,1524.5067,5789.4305,2,Bearing Wear
13.2154,61.7288,8.7581,24.4906,1373.9181,2513.4709,5,Combined Faults
16.1630,66.9191,7.4619,20.9283,1301.4557,7321.7178,2,Bearing Wear
4.5352,61.7898,5.3392,16.7338,1438.9363,1448.4852,1,Normal
16.7437,61.6783,7.3012,18.8716,1609.1823,4870.5178,3,Misalignment
6.9236,48.6806,5.8101,16.7490,1310.1407,986.0577,2,Bearing Wear
12.6057,75.2872,5.8207,21.9122,1168.8949,1809.4453,4,Overheating
4.4984,88.5746,5.4810,24.2526,1732.8935,3115.2936,4,Overheating
15.7790,78.1230,6.7491,24.0804,1780.0710,916.5128,4,Overheating
12.9406,64.4575,6.6585,19.9316,1595.8718,4095.2507,3,Misalignment
4.0632,65.8978,5.4858,16.0697,1496.0062,1810.3726,1,Normal
12.2834,58.0855,6.9378,19.4656,1436.2500,4949.0568,2,Bearing Wear
20.5330,75.8582,6.2161,23.9093,1940.1153,5645.3372,4,Overheating
14.4211,66.3032,6.7388,25.0388,1625.0825,2450.6105,5,Combined Faults
21.6881,89.6401,5.3445,25.4662,1800.8695,4394.1701,4,Overheating
3.1985,51.0039,5.8593,15.6058,1432.1246,614.4023,1,Normal
9.4907,56.5279,6.5781,18.2326,1548.5522,3113.4277,2,Bearing Wear
17.8564,66.1080,8.0076,21.2568,1549.3109,7166.9406,5,Combined Faults
10.7870,77.5202,5.4333,23.2152,1359.1730,2286.3648,4,Overheating
4.2756,49.4298,5.2484,16.7626,1523.0460,436.2984,1,Normal
17.9637,68.7462,7.5984,21.3620,1528.5745,3278.4285,3,Misalignment
4.8000,59.7015,5.2852,16.4762,1539.0127,1331.7074,1,Normal
11.0379,60.0000,8.6390,24.3218,1248.9963,1427.3480,5,Combined Faults
13.7708,54.1484,6.5728,19.6154,1413.9786,86.5574,3,Misalignment
14.4722,67.8610,7.6880,21.2751,1504.5377,7719.7250,2,Bearing Wear
7.9236,74.0832,5.6016,21.2000,1230.8698,1641.6436,4,Overheating
12.3600,60.2936,8.5647,23.5416,1184.5696,5352.7644,5,Combined Faults
9.4382,50.0957,6.2963,16.3466,1576.1743,1395.7482,2,Bearing Wear
3.1986,55.7631,5.2915,15.7661,1439.0987,872.7179,1,Normal
11.3671,59.5592,7.1468,19.8659,1506.9149,5553.4243,2,Bearing Wear
13.0439,68.5789,8.7803,21.7261,1154.0591,6620.9284,5,Combined Faults
16.0514,65.2883,7.7502,19.9094,1654.7342,7103.2196,2,Bearing Wear
15.9020,61.9059,9.3802,18.8080,1329.2369,3279.1952,5,Combined Faults
13.0010,66.1609,7.5458,21.2860,1766.9675,3150.4980,5,Combined Faults
8.8875,51.2431,6.2027,15.6198,1637.6655,904.1317,2,Bearing Wear
17.6542,50.1874,7.2447,21.1530,1678.2329,1687.6937,3,Misalignment
13.3799,64.2788,8.5524,23.8330,1456.4405,2085.2418,5,Combined Faults
2.8240,63.3991,5.2912,16.9672,1537.2100,1712.8193,1,Normal
18.8692,71.6661,8.9445,24.7957,1896.2738,4937.8035,5,Combined Faults
20.9452,58.3848,6.6017,18.8285,1677.3260,158.6328,3,Misalignment
5.3369,65.7123,5.3180,15.6277,1598.0884,1992.5301,1,Normal
8.8411,52.0172,6.0137,16.2873,1593.9537,1038.6890,2,Bearing Wear
4.4130,50.6421,5.7703,17.1019,1594.9002,408.0263,1,Normal
5.1660,67.8129,7.0807,20.7085,1078.0238,4531.8914,4,Overheating
18.5643,68.5519,8.3345,20.6792,1777.2229,3410.6597,3,Misalignment
12.9093,60.4863,7.4696,19.0923,1498.4443,6114.3557,2,Bearing Wear
12.1698,60.0000,8.6990,21.3901,1517.6096,2010.5210,5,Combined Faults
9.1143,52.4396,6.1727,17.5063,1281.4725,2514.8015,2,Bearing Wear
